 	le	terrier	du	blaireau	que	nous	avons	suivi	était	déjà	abandonné	</S>
a66	0.104723	0.11021	0.121102	0.124562	0.142694	0.130704	0.132473	0.0950637	0.014973	0.00888808	0.0079208	0.00668604
a87	0.242329	0.15368	0.0871098	0.0823497	0.103392	0.126743	0.0924528	0.0475004	0.0185788	0.0169404	0.014892	0.0140318
a23	0.168539	0.173272	0.140705	0.146157	0.129503	0.107253	0.0676353	0.0339948	0.00914496	0.00657545	0.00744491	0.0097749
a53	0.195722	0.145153	0.0870543	0.08721	0.0835547	0.109817	0.0849868	0.0703976	0.035346	0.0315599	0.0288367	0.0403618
a56	0.232852	0.130493	0.0781511	0.0870042	0.123726	0.144393	0.0998833	0.0598225	0.0133604	0.0109234	0.00974744	0.00964347
a62	0.186393	0.12769	0.100069	0.0883276	0.125827	0.167769	0.137209	0.0428786	0.00810852	0.0060237	0.00480866	0.00489525
a47	0.0772122	0.0673906	0.0818774	0.0902478	0.14279	0.226043	0.233685	0.0595848	0.0106706	0.00557159	0.0025494	0.00237781
a62	0.0858074	0.066578	0.0724984	0.0807565	0.126473	0.220336	0.242671	0.0730387	0.0155339	0.0085082	0.00401543	0.00378401
a0	0.0648273	0.0653963	0.0851689	0.0938179	0.133749	0.200078	0.233901	0.0802514	0.0209896	0.0113541	0.0054413	0.00502461
a12	0.0448127	0.0507508	0.0716104	0.0851377	0.106112	0.152883	0.225604	0.124975	0.0516802	0.0386708	0.0241832	0.0235807
a96	0.0209719	0.0190065	0.0297155	0.0355075	0.0727956	0.177311	0.338862	0.191786	0.0489024	0.0304198	0.0181914	0.0165297
a88	0.01539	0.0146287	0.0257915	0.0319856	0.0696393	0.164538	0.309872	0.209123	0.0649879	0.0422558	0.0267165	0.0250718
a61	0.0122554	0.012579	0.0234961	0.0315274	0.0657402	0.134865	0.260618	0.250091	0.0883326	0.0553745	0.0353538	0.0297666
a0	0.0153264	0.0166539	0.030451	0.0394316	0.0781881	0.150458	0.252479	0.22082	0.0739872	0.0508426	0.0378321	0.0335295
a21	0.0171802	0.0197454	0.0297918	0.0388607	0.0572959	0.0786853	0.154377	0.300475	0.118615	0.0731298	0.0558373	0.0560065
a12	0.0112846	0.0112654	0.0160022	0.0190449	0.0364316	0.0684948	0.129801	0.214694	0.123928	0.132499	0.123387	0.113168
a75	0.00774226	0.00777375	0.00996657	0.0106267	0.0202171	0.039096	0.0742235	0.22031	0.168211	0.166902	0.14782	0.127111
a85	0.00273486	0.00261401	0.0031376	0.00377936	0.00820367	0.0142819	0.0268967	0.143229	0.171003	0.204355	0.211731	0.208034
a5	0.00264127	0.00271478	0.00312812	0.003747	0.00761157	0.0117333	0.025807	0.164893	0.167071	0.187791	0.210458	0.212404
a21	0.00537989	0.00521707	0.00517772	0.00514471	0.0082125	0.0111657	0.0197069	0.123153	0.160419	0.18169	0.222086	0.252647
a47	0.00431062	0.00416962	0.00407215	0.00384986	0.00540908	0.00621772	0.010531	0.0917456	0.160587	0.19757	0.232542	0.278996
a61	0.00640859	0.00653763	0.00578691	0.00581513	0.00821911	0.00967129	0.0143107	0.0924204	0.156319	0.17898	0.228041	0.28749
a18	0.00272406	0.00275159	0.00259455	0.00247195	0.00345203	0.00399198	0.00605927	0.0404164	0.130166	0.193847	0.273378	0.338146
a93	0.00328362	0.00553058	0.00575508	0.00739242	0.00697753	0.00326508	0.00306261	0.0151964	0.0605807	0.118542	0.30753	0.462884
a96	0.000759206	0.000834163	0.00081987	0.000810332	0.000948297	0.000707767	0.00092798	0.00793446	0.0484315	0.116944	0.308907	0.511976
a34	0.000577623	0.000761818	0.000682245	0.000741998	0.000773319	0.00048803	0.000677443	0.00539546	0.03167	0.0829905	0.297883	0.577358
a79	0.000461773	0.000525762	0.000470917	0.000468642	0.000501078	0.000391169	0.00059048	0.00526565	0.0358752	0.0984681	0.289862	0.56712
a7	0.000101481	0.000113289	8.11011e-05	8.12344e-05	9.00323e-05	7.73994e-05	0.000168196	0.00177737	0.0211397	0.0710737	0.287742	0.617554
a26	0.00202326	0.0025413	0.00189931	0.00181159	0.00180531	0.000833718	0.000666641	0.00287394	0.023013	0.0728384	0.28922	0.600474
a82	0.0497938	0.0569705	0.0369277	0.0321934	0.0291549	0.0181406	0.0125772	0.0216674	0.0634548	0.111004	0.248304	0.319812
a87	0.115275	0.0948243	0.0564961	0.0501902	0.047687	0.0418462	0.0327198	0.049882	0.0731252	0.0978319	0.160432	0.17969
a23	0.213962	0.169069	0.0958141	0.0734374	0.0657936	0.0549425	0.0335888	0.0553792	0.065018	0.0593989	0.055697	0.0578995
a38	0.0460509	0.0404402	0.0222802	0.0197519	0.0154944	0.0136836	0.0110235	0.0331381	0.0902342	0.180561	0.233898	0.293444
</S>	0.0512805	0.0370229	0.0220391	0.0201071	0.0211764	0.0245115	0.0254383	0.0753241	0.0964715	0.143856	0.200025	0.282747
