 	viens	ici	</S>
a66	0.513453	0.277498	0.209049
a87	0.394223	0.338234	0.267543
a97	0.554364	0.279336	0.1663
a87	0.546082	0.285182	0.168736
a97	0.576549	0.280378	0.143073
a99	0.571176	0.278866	0.149959
a54	0.57498	0.274127	0.150893
a47	0.573751	0.268423	0.157826
a15	0.524319	0.285738	0.189943
a98	0.402091	0.311394	0.286515
a6	0.321596	0.318565	0.359839
a37	0.204374	0.308577	0.48705
a26	0.195921	0.283032	0.521047
a3	0.151735	0.253536	0.59473
a87	0.27678	0.306675	0.416546
a97	0.394142	0.306831	0.299027
a3	0.352158	0.313389	0.334453
</S>	0.321192	0.300522	0.378286
