 	il	avoua	qu'	il	avait	volé	</S>
a53	0.154575	0.263595	0.119738	0.128401	0.14579	0.10226	0.0856408
a15	0.18037	0.412553	0.122205	0.0749191	0.0772015	0.060974	0.0717776
a73	0.410104	0.379779	0.102318	0.0493788	0.0292114	0.0133628	0.0158451
a32	0.33427	0.356857	0.133885	0.0723089	0.0509237	0.0253894	0.0263657
a98	0.338792	0.28189	0.13676	0.071179	0.0569144	0.0513013	0.0631634
a73	0.27736	0.284038	0.144077	0.0826094	0.0620567	0.068466	0.0813932
a35	0.279453	0.287275	0.153563	0.0805335	0.0603799	0.0652741	0.0735213
a24	0.250449	0.277746	0.166713	0.10069	0.0730625	0.0668473	0.064492
a94	0.182956	0.245221	0.197754	0.121133	0.0897874	0.0853309	0.077818
a38	0.157512	0.233483	0.201584	0.114917	0.0905778	0.0992684	0.102656
a76	0.110647	0.194706	0.198096	0.129531	0.112742	0.123738	0.13054
a90	0.110395	0.149323	0.178329	0.149481	0.134049	0.141641	0.136782
a4	0.108933	0.160927	0.178404	0.158148	0.131086	0.130679	0.131823
a76	0.113239	0.147612	0.156452	0.157588	0.137097	0.140924	0.147089
a73	0.100058	0.119673	0.120692	0.132883	0.146211	0.177738	0.202745
a94	0.0766913	0.151639	0.15654	0.163602	0.158064	0.145487	0.147977
a24	0.070687	0.129761	0.119288	0.128622	0.162593	0.181534	0.207516
a94	0.0300666	0.0543419	0.074482	0.129307	0.206823	0.251238	0.253741
a71	0.054019	0.096485	0.0853648	0.107565	0.16783	0.230766	0.257971
a25	0.0614688	0.0968088	0.0724316	0.0908373	0.151768	0.234427	0.292258
a87	0.0627671	0.128321	0.0760703	0.0840787	0.135349	0.204912	0.308502
a23	0.0469122	0.0789919	0.0888782	0.118821	0.186811	0.210389	0.269196
a30	0.0264874	0.0566526	0.0811622	0.109894	0.197122	0.237827	0.290855
a53	0.0076956	0.0381094	0.0545674	0.0809508	0.167071	0.25299	0.398616
a20	0.0387026	0.103411	0.0929926	0.0960846	0.131774	0.164857	0.372179
a30	0.0793348	0.119638	0.101825	0.105959	0.12682	0.157232	0.309191
a40	0.0209234	0.0431418	0.0602526	0.0883326	0.139164	0.211136	0.437049
a30	0.0556979	0.0733951	0.0741489	0.111805	0.153776	0.195202	0.335975
a41	0.0358909	0.0597116	0.0813063	0.120546	0.164437	0.210638	0.32747
a24	0.0100711	0.0214882	0.030939	0.0592705	0.143018	0.26189	0.473324
a94	0.0125051	0.0165959	0.0216676	0.0400739	0.125676	0.292628	0.490853
a76	0.0160492	0.0298094	0.0337709	0.0525338	0.13939	0.267472	0.460974
a73	0.0233133	0.0410151	0.0402657	0.0558917	0.125076	0.240097	0.474342
a84	0.00884321	0.0242577	0.0342954	0.0546814	0.132083	0.242886	0.502954
a87	0.00362952	0.00951272	0.0181063	0.0357439	0.121453	0.291051	0.520504
a23	0.00951404	0.0219335	0.0391738	0.0740764	0.182243	0.283836	0.389224
a87	0.0362983	0.0379198	0.0655072	0.0973272	0.197866	0.25778	0.307301
</S>	0.0271303	0.0414933	0.0743634	0.105766	0.174461	0.222078	0.354709
